model,mode,L,R,n,median,tie,rho_clean
bert,trunc,0,250,99994,0.5617868304252625,0.2827669660179611,-0.0498710285234356
bert,trunc,1,0,99994,7.239994525909424,0.0,0.35457009917147264
bert,trunc,1,1,99994,2.775655746459961,0.016220973258395503,0.30484241525535494
bert,trunc,2,0,99994,6.93078088760376,0.0006600396023761425,0.43429998335580644
bert,trunc,2,2,99994,1.5367586612701416,0.05335320119207152,0.29322836767848687
bert,trunc,4,0,99994,7.369538068771362,0.0013500810048602916,0.46160330054353094
bert,trunc,4,4,99994,0.9655839204788208,0.16378982738964337,0.2624883415321636
bert,trunc,8,0,99994,7.3007707595825195,0.0019501170070204213,0.4819842801270099
bert,trunc,8,8,99994,0.4181007146835327,0.3042982578954737,0.2599159096906963
bert,trunc,16,0,99994,7.137653350830078,0.003190191411484689,0.4974120033508625
bert,trunc,16,1,99994,2.321930170059204,0.08648518911134669,0.4736599050109616
bert,trunc,16,2,99994,0.7863658964633942,0.18306098365901954,0.42786572367004577
bert,trunc,16,4,99994,0.4262051433324814,0.2971378282696962,0.3499154818777791
bert,trunc,16,8,99994,0.2322130873799324,0.3875032501950117,0.3047370328056238
bert,trunc,16,16,99994,0.14767685532569885,0.45065703942236535,0.2859990955894764
bert,trunc,16,32,99994,0.11140843108296394,0.486079164749885,0.2830109195266489
bert,trunc,16,64,99994,0.09217469394207001,0.5100106006360382,0.28467310109978416
bert,trunc,32,0,99994,6.974674940109253,0.003170190211412685,0.5042944203487827
bert,trunc,32,2,99994,0.6466700732707977,0.21510290617437047,0.45432433399075517
bert,trunc,32,8,99994,0.15897737443447113,0.4387463247794868,0.32367829595351444
bert,trunc,32,32,99994,0.08248499780893326,0.5226613596815809,0.2997875187272438
bert,trunc,64,0,99994,6.885739088058472,0.003130187811268676,0.5028471055899228
bert,trunc,64,1,99994,2.5821681022644043,0.10347620857251436,0.513171084091773
bert,trunc,64,2,99994,0.5827272832393646,0.2342040522431346,0.4577395010549378
bert,trunc,64,4,99994,0.2530222535133362,0.37342240534432064,0.36938326962190166
bert,trunc,64,8,99994,0.13026266545057297,0.4658479508770526,0.3234898859029095
bert,trunc,64,16,99994,0.0879954919219017,0.5165709942596556,0.3060369789664323
bert,trunc,64,32,99994,0.0724966749548912,0.5391323479408765,0.30155070514970445
bert,trunc,64,64,99994,0.06441295146942139,0.5520631237874273,0.3008437370116687
bert,trunc,125,0,99994,6.745084524154663,0.004640278416705002,0.5086423484111592
bert,trunc,125,125,99994,0.05941974185407162,0.5611536692201532,0.30035913574997364
bert,trunc,250,0,99994,6.721360445022583,0.005920355221313279,0.5075724727485027
bert,trunc,250,1,99994,2.6828747987747192,0.09882592955577335,0.5253873967767592
bert,trunc,250,2,99994,0.5426597893238068,0.24184451067064025,0.466481530098985
bert,trunc,250,4,99994,0.22770646959543228,0.38625317519051144,0.37937662207381817
bert,trunc,250,8,99994,0.1146545484662056,0.4819489169350161,0.3295362507492873
bert,trunc,250,16,99994,0.07988521084189415,0.5282516951017061,0.31142151234561366
bert,trunc,250,32,99994,0.06841811537742615,0.5471228273696421,0.30683026092405
bert,trunc,250,64,99994,0.06304559111595154,0.5566333980038802,0.30492127683445713
bert,trunc,250,250,99994,0.0581603217869997,0.5651139068344101,0.3028556656273012
bert,trunc,500,0,99994,5.830477714538574,0.011280676840610437,0.5400984933326265
roberta,mask,0,0,99997,9.526467323303223,0.0,0.26753907547477046
roberta,mask,0,1,99997,12.605633735656738,0.0,0.10038805579524625
roberta,mask,0,2,99997,14.276878356933594,0.0,0.11358221791947302
roberta,mask,0,4,99997,12.701864242553711,0.0,0.14941898976536716
roberta,mask,0,8,99997,11.3196382522583,0.0,0.162852764732086
roberta,mask,0,16,99997,10.343009948730469,1.000030000900027e-05,0.16426797617581587
roberta,mask,0,32,99997,9.301403999328613,0.00035001050031500947,0.1385820883944081
roberta,mask,0,64,99997,3.738915205001831,0.0020900627018810565,0.07834223607503099
roberta,mask,0,125,99997,1.9779441356658936,0.009110273308199246,0.11788275693615057
roberta,mask,0,250,99997,1.7660750150680542,0.016360490814724443,0.12116845638782207
roberta,mask,1,0,99997,13.053119659423828,0.0,0.10792562956268634
roberta,mask,2,0,99997,14.130339622497559,0.0,0.12550259327549193
roberta,mask,4,0,99997,11.655533790588379,0.0,0.14153935244184465
roberta,mask,8,0,99997,10.437947273254395,0.0,0.15798723251716804
roberta,mask,16,0,99997,10.061708450317383,1.000030000900027e-05,0.14939373375977288
roberta,mask,32,0,99997,9.429494857788086,0.00011000330009900296,0.13150526727486223
roberta,mask,64,0,99997,6.974027633666992,0.0008000240007200216,0.2550046475800545
roberta,mask,125,0,99997,2.817112445831299,0.009720291608748263,0.6825252474206556
roberta,mask,250,0,99997,2.8937296867370605,0.0297308919267578,0.6650232307224271
roberta,mask,250,250,99997,0.07833711057901382,0.5373761212836385,0.3488599373520488
roberta,trunc,0,0,99997,18.69651985168457,0.0,-0.21264891393057042
roberta,trunc,0,1,99997,9.402329444885254,0.017700531015930478,-0.18198106107474213
roberta,trunc,0,2,99997,9.12699031829834,0.02743082292468774,-0.1958536173505096
roberta,trunc,0,4,99997,8.899127960205078,0.04350130503915117,-0.18280810387432275
roberta,trunc,0,8,99997,8.496639251708984,0.06609198275948279,-0.15782174077341893
