checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-4491,2025-08-10T17:07:30.657999,4491,blimp_overall,0.5605970149253732,6700.0,,
checkpoint-4574,2025-08-10T17:09:04.455514,4574,blimp_overall,0.561044776119403,6700.0,,
checkpoint-4657,2025-08-10T17:10:38.254357,4657,blimp_overall,0.551044776119403,6700.0,,
checkpoint-4740,2025-08-10T17:12:12.004689,4740,blimp_overall,0.5626865671641791,6700.0,,
checkpoint-4823,2025-08-10T17:13:45.803267,4823,blimp_overall,0.5564179104477612,6700.0,,
checkpoint-4906,2025-08-10T17:15:19.441399,4906,blimp_overall,0.5770149253731344,6700.0,,
checkpoint-4990,2025-08-10T17:16:53.181418,4990,blimp_overall,0.5774626865671642,6700.0,,
checkpoint-5073,2025-08-10T17:18:27.081342,5073,blimp_overall,0.567910447761194,6700.0,,
checkpoint-5156,2025-08-10T17:20:00.766679,5156,blimp_overall,0.5802985074626865,6700.0,,
checkpoint-5239,2025-08-10T17:21:34.927932,5239,blimp_overall,0.5892537313432836,6700.0,,
checkpoint-5322,2025-08-10T17:23:09.618746,5322,blimp_overall,0.5888059701492537,6700.0,,
checkpoint-5405,2025-08-10T17:24:44.345712,5405,blimp_overall,0.5859701492537314,6700.0,,
checkpoint-5489,2025-08-10T17:26:19.104640,5489,blimp_overall,0.5923880597014926,6700.0,,
checkpoint-5572,2025-08-10T17:27:53.550507,5572,blimp_overall,0.6023880597014926,6700.0,,
checkpoint-5655,2025-08-10T17:29:27.325850,5655,blimp_overall,0.5913432835820895,6700.0,,
checkpoint-5738,2025-08-10T17:31:01.150072,5738,blimp_overall,0.6008955223880597,6700.0,,
checkpoint-5821,2025-08-10T17:32:33.230594,5821,blimp_overall,0.5982089552238806,6700.0,,
checkpoint-5904,2025-08-10T17:34:04.984490,5904,blimp_overall,0.6073134328358208,6700.0,,
checkpoint-5988,2025-08-10T17:35:36.654875,5988,blimp_overall,0.5953731343283583,6700.0,,
checkpoint-6071,2025-08-10T17:37:08.467243,6071,blimp_overall,0.5911940298507463,6700.0,,
checkpoint-6154,2025-08-10T17:38:40.460792,6154,blimp_overall,0.5941791044776119,6700.0,,
checkpoint-6237,2025-08-10T17:40:11.787817,6237,blimp_overall,0.6022388059701492,6700.0,,
checkpoint-6320,2025-08-10T17:41:43.171417,6320,blimp_overall,0.5967164179104477,6700.0,,
checkpoint-6403,2025-08-10T17:43:14.619150,6403,blimp_overall,0.5941791044776119,6700.0,,
checkpoint-6487,2025-08-10T17:44:45.979943,6487,blimp_overall,0.5988059701492537,6700.0,,
checkpoint-6570,2025-08-10T17:46:17.573360,6570,blimp_overall,0.6113432835820896,6700.0,,
checkpoint-6653,2025-08-10T17:47:49.372667,6653,blimp_overall,0.6026865671641791,6700.0,,
checkpoint-6736,2025-08-10T17:49:21.725979,6736,blimp_overall,0.5964179104477612,6700.0,,
checkpoint-6819,2025-08-10T17:50:54.155758,6819,blimp_overall,0.5967164179104477,6700.0,,
checkpoint-6902,2025-08-10T17:52:26.391925,6902,blimp_overall,0.595820895522388,6700.0,,
checkpoint-6986,2025-08-10T17:53:58.735315,6986,blimp_overall,0.605820895522388,6700.0,,
checkpoint-7069,2025-08-10T17:55:31.275180,7069,blimp_overall,0.6070149253731343,6700.0,,
checkpoint-7152,2025-08-10T17:57:03.560333,7152,blimp_overall,0.6,6700.0,,
checkpoint-7235,2025-08-10T17:58:36.069246,7235,blimp_overall,0.5992537313432836,6700.0,,
checkpoint-7318,2025-08-10T18:00:08.446406,7318,blimp_overall,0.6059701492537314,6700.0,,
checkpoint-7401,2025-08-10T18:01:39.838739,7401,blimp_overall,0.596865671641791,6700.0,,
checkpoint-7485,2025-08-10T18:03:11.177749,7485,blimp_overall,0.5976119402985075,6700.0,,
checkpoint-7568,2025-08-10T18:04:42.523100,7568,blimp_overall,0.6094029850746269,6700.0,,
checkpoint-7651,2025-08-10T18:06:13.811148,7651,blimp_overall,0.6116417910447761,6700.0,,
checkpoint-7734,2025-08-10T18:07:45.371684,7734,blimp_overall,0.6107462686567164,6700.0,,
checkpoint-7817,2025-08-10T18:09:16.679199,7817,blimp_overall,0.5929850746268657,6700.0,,
checkpoint-7900,2025-08-10T18:10:48.107032,7900,blimp_overall,0.6052238805970149,6700.0,,
checkpoint-7984,2025-08-10T18:12:19.434515,7984,blimp_overall,0.5949253731343284,6700.0,,
checkpoint-8067,2025-08-10T18:13:50.828015,8067,blimp_overall,0.6079104477611941,6700.0,,
checkpoint-8150,2025-08-10T18:15:22.305981,8150,blimp_overall,0.6022388059701492,6700.0,,
